"","id","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"409","20160509_results","A2707","III",1,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50151371115671e-05,11222.197446347,0.634301816326182,97107.1148025659,4.41592651416078e-05,8877.26685006128,0.632898977710744,96895.9106026141,1.97906372638827e-06,2759.40481707017,0.00327596387689952,407.989187334964,4.09037053116991e-05,4.74148249715165e-05,4338.04592598086,13416.4877741417,0.627510017133244,0.638287938288243,96224.7683894481,97567.0528157802,4.02803002378868e-05,4.80382300453288e-05,3468.83340860376,14285.7002915188,0.626478088512021,0.639319866909467,96096.2517954376,97695.5694097907
"410","20160509_results","A2707","III",3,TRUE,"logistic",FALSE,FALSE,100,3.88123152441896e-05,20733.1174100096,0.348398337397844,81864.0604185664,1.27194701714962e-05,1689.21229252891,0.00525079227313701,1.78887868120784e-05,5.97358436763008e-05,17954.3631887996,23511.8716312197,0.339760784108533,0.357035890687154,1.38821537080571e-05,6.37424767803221e-05,17422.261316653,24043.9735033663,0.338106784542495,0.358689890253192,3.54447386421826e-05,21246.8361268985,0.611700666792778,82320.6950877488,3.52700861193597e-05,20316.2479473195,0.608884468162801,82157.3478233114,9.55001125629787e-07,3842.02367693696,0.00553747953914236,280.728078315308,3.36991092676987e-05,3.68410629710207e-05,13996.1189987582,26636.3768958808,0.599775314320912,0.617993622004691,81695.5501344827,82619.1455121401,3.33982839131253e-05,3.71418883255941e-05,12785.8815405231,27846.614354116,0.598031008266082,0.61973792805952,81607.1207898134,82707.5748568094
"411","20160509_results","A2707","III",5,TRUE,"logistic",FALSE,FALSE,100,3.22697030184481e-05,39031.8896753273,0.368050302372174,79299.9004252546,7.68276175810722e-06,1558.44104331036,0.00477288400079351,1.96315599263618e-05,4.49078461105345e-05,36468.2541590818,41595.5251915729,0.360198908190869,0.37590169655348,1.7211489972558e-05,4.73279160643383e-05,35977.345230439,42086.4341202156,0.358695449730619,0.37740515501373,3.30007986675868e-05,40752.4786564089,0.56229678305043,80325.813277421,3.20482796654298e-05,42136.0319943385,0.561683333239904,80157.7208097985,1.48373252812738e-06,5742.8352762261,0.000959880896133594,288.54885768274,2.96075396566602e-05,3.44890196741993e-05,32689.0679649466,51582.9960237305,0.560104329165764,0.563262337314043,79683.0579389104,80632.3836806866,2.91401639103001e-05,3.49563954205594e-05,30880.0748529354,53391.9891357417,0.559801966683482,0.563564699796325,79592.1650487403,80723.2765708567
"412","20160509_results","A2707","III",7,TRUE,"logistic",FALSE,FALSE,100,2.13871121539612e-05,75514.3441559844,0.306888336573214,54474.2293249835,6.87013106439012e-06,2642.7148234721,0.00671485885956257,1.00857465530395e-05,3.2688477754883e-05,71167.0782713728,79861.610040596,0.295842393749233,0.317934279397194,7.92165526775662e-06,3.48525690401659e-05,70334.6231019791,80694.0652099897,0.293727213208471,0.320049459937956,2.67665790478817e-05,80278.252928543,0.52387190996268,56057.0236270082,2.63676114026793e-05,85276.7567521859,0.524099483653069,55948.4854925107,7.98758180253425e-07,6019.24925050914,0.00115121418013009,192.630063517966,2.50536541961624e-05,2.76815686091962e-05,75375.0917350984,95178.4217692734,0.522205736326755,0.525993230979383,55631.6090380236,56265.3619469977,2.48020453693826e-05,2.7933177435976e-05,73479.028221188,97074.4852831838,0.521843103860014,0.526355863446124,55570.9305680155,56326.0404170059
"413","20160509_results","A2707","III",10,TRUE,"logistic",FALSE,FALSE,100,1.66727603251948e-05,235199.511062012,0.841785731203019,7260.15343732562,8.34577922588351e-07,1068.50695619939,0.0626799215679895,1.52998796425369e-05,1.80456410078526e-05,233441.817119064,236957.20500496,0.738677260223677,0.944894202182362,1.50369875969216e-05,1.83085330534679e-05,233105.237427861,237293.784696162,0.71893308492976,0.964638377476279,1.97605921531502e-05,236360.295367326,0.405151888016804,8143.78571095179,1.88900666709683e-05,248687.477273367,0.398374863709342,7936.94500747912,1.46172551311395e-06,2901.7068035922,0.0110053576878621,320.242441866848,1.64855282018959e-05,2.12946051400408e-05,243914.169581458,253460.784965277,0.380271050312809,0.416478677105875,7410.14619060816,8463.74382435009,1.6025084665265e-05,2.17550486766717e-05,243000.131938327,254374.822608408,0.376804362641133,0.419945364777552,7309.2698214201,8564.62019353815
"414","20160509_results","A2707","III",14,FALSE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76096100244118e-07,-33074.7136544697,0.0189205249515566,2266.28025786656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","20160509_results","A2707","III",20,FALSE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48269675200633e-07,46841.1825745514,0.0250639642602696,4874.46553096501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","20160509_results","A2707","III",25,FALSE,"richards",FALSE,FALSE,100,2.09257081865538e-07,-67227.5983779291,0.0451121339025926,9397.5223584682,2.22638582587687e-09,1691.6884731673,0.000114661967796556,2.05594677181971e-07,2.12919486549106e-07,-70010.4259162893,-64444.7708395689,0.0449235149655672,0.0453007528396179,2.04893365646819e-07,2.13620798084257e-07,-70543.307785337,-63911.8889705212,0.0448873964457113,0.0453368713594738,7.61899654483892e-07,16034.3985514008,0.0461972955217569,9396.56602919648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","20160509_results","A2735","III",0,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77362582985814e-05,6237.81272222785,0.71522653344391,104504.708519838,4.93274777726305e-05,4750.69829700651,0.715751322731861,104315.78411834,1.04467241344078e-05,3120.19996730548,0.000775409882872111,317.713482176137,3.21426165715296e-05,6.65123389737313e-05,-382.030649211014,9883.42724322403,0.714475773474536,0.717026871989185,103793.14544016,104838.42279652,2.88518984691911e-05,6.98030570760698e-05,-1364.89363891224,10866.2902329253,0.714231519361431,0.71727112610229,103693.065693275,104938.502543405
"418","20160509_results","A2735","III",0,TRUE,"logistic",FALSE,FALSE,100,5.79381456209611e-05,6809.49084473648,0.443956155796939,110787.404319347,2.39691072316879e-05,1820.78658151705,0.00754679553061936,1.85089642248345e-05,9.73673270170878e-05,3814.29691814093,9804.68477133204,0.43154167714907,0.456370634444808,1.09586954468528e-05,0.00010491759579507,3240.74914496306,10378.2325445099,0.429164436556925,0.458747875036953,4.83767740479117e-05,6419.85135082656,0.738614348800427,111012.297212029,5.38182121310624e-05,4154.69819446795,0.738409404732491,110750.0864475,1.38116563425515e-05,2192.12470415743,0.000739855894927732,334.515972040256,3.10980374475651e-05,7.65383868145596e-05,548.653056128975,7760.74333280693,0.737192341785335,0.739626467679647,110199.807673494,111300.365221506,2.67473656996614e-05,8.08890585624633e-05,-141.866225680616,8451.26261461652,0.736959287178433,0.739859522286549,110094.435142301,111405.737752699
